test,hosts,pass,time
ansible-paramiko,1,First,3.153156000
ansible-paramiko,1,Second,3.058176000
pyinfra,1,First,1.148958000
pyinfra,1,Second,1.272858000
ansible-ssh,1,First,4.668363000
ansible-ssh,1,Second,4.058715000
fabric,1,First,.499623000
fabric,1,Second,.471986000
ansible-paramiko,5,First,3.917462000
ansible-paramiko,5,Second,3.879034000
pyinfra,5,First,1.297184000
pyinfra,5,Second,1.421548000
ansible-ssh,5,First,5.427631000
ansible-ssh,5,Second,4.791987000
fabric,5,First,.662245000
fabric,5,Second,.623447000
ansible-paramiko,25,First,13.359743000
ansible-paramiko,25,Second,13.165078000
pyinfra,25,First,2.612094000
pyinfra,25,Second,2.240562000
ansible-ssh,25,First,20.888947000
ansible-ssh,25,Second,17.746480000
fabric,25,First,1.482793000
fabric,25,Second,1.298108000
ansible-paramiko,50,First,25.137558000
ansible-paramiko,50,Second,24.927261000
pyinfra,50,First,4.655839000
pyinfra,50,Second,3.745125000
ansible-ssh,50,First,40.302319000
ansible-ssh,50,Second,33.980280000
fabric,50,First,2.533249000
fabric,50,Second,2.125161000
ansible-paramiko,100,First,48.993302000
ansible-paramiko,100,Second,47.748989000
pyinfra,100,First,8.367525000
pyinfra,100,Second,6.540109000
ansible-ssh,100,First,78.368919000
ansible-ssh,100,Second,64.603539000
fabric,100,First,4.790557000
fabric,100,Second,3.922256000
ansible-paramiko,250,First,123.221871000
ansible-paramiko,250,Second,118.602669000
pyinfra,250,First,22.054713000
pyinfra,250,Second,15.225033000
ansible-ssh,250,First,201.532076000
ansible-ssh,250,Second,162.751351000
fabric,250,First,13.112721000
fabric,250,Second,10.082028000
ansible-paramiko,500,First,256.977939000
ansible-paramiko,500,Second,251.551801000
pyinfra,500,First,49.462297000
pyinfra,500,Second,31.242701000
ansible-ssh,500,First,416.884662000
ansible-ssh,500,Second,344.791534000
